Time	P	T	E	Qls	Qmm
2004-01-01 00:00:00	0.0000		0.0000	5170.0000	0.0202
2004-01-01 01:00:00	0.0000		0.0000	5156.0000	0.0202
2004-01-01 02:00:00	0.0000		0.0000	5143.0000	0.0201
2004-01-01 03:00:00	0.0000		0.0000	5130.0000	0.0201
2004-01-01 04:00:00	0.0000		0.0000	5116.0000	0.0200
2004-01-01 05:00:00	0.0000		0.0000	5103.0000	0.0200
2004-01-01 06:00:00	0.0000		0.0000	5089.0000	0.0199
2004-01-01 07:00:00	0.0000		0.0100	5076.0000	0.0199
2004-01-01 08:00:00	0.0000		0.0200	5062.0000	0.0198
2004-01-01 09:00:00	0.0000		0.0200	5049.0000	0.0198
2004-01-01 10:00:00	0.0000		0.0300	4840.0000	0.0189
2004-01-01 11:00:00	0.0000		0.0300	4796.0000	0.0188
2004-01-01 12:00:00	0.0000		0.0400	5129.0000	0.0201
2004-01-01 13:00:00	0.0000		0.0400	5121.0000	0.0200
2004-01-01 14:00:00	0.0000		0.0300	5098.0000	0.0199
2004-01-01 15:00:00	0.0000		0.0300	5074.0000	0.0199
2004-01-01 16:00:00	0.0000		0.0200	5051.0000	0.0198
2004-01-01 17:00:00	0.0000		0.0200	5019.0000	0.0196
2004-01-01 18:00:00	0.0000		0.0100	4667.0000	0.0183
2004-01-01 19:00:00	0.0000		0.0000	4897.0000	0.0192
2004-01-01 20:00:00	0.0000		0.0000	5151.0000	0.0202
2004-01-01 21:00:00	0.0000		0.0000	5145.0000	0.0201
2004-01-01 22:00:00	0.0000		0.0000	5134.0000	0.0201
2004-01-01 23:00:00	0.0000		0.0000	5123.0000	0.0200
2004-01-02 00:00:00	0.0000		0.0000	5112.0000	0.0200
2004-01-02 01:00:00	0.0000		0.0000	5100.0000	0.0200
2004-01-02 02:00:00	0.0000		0.0000	5089.0000	0.0199
2004-01-02 03:00:00	0.0000		0.0000	5078.0000	0.0199
2004-01-02 04:00:00	0.0000		0.0000	5067.0000	0.0198
2004-01-02 05:00:00	0.0000		0.0000	5056.0000	0.0198
